,,,,,,EUR,"4,40",USD,"3,7",,,,,,,,,,,,,,,,,,,,
kod,data,status,Kto_odpowiedzialny,nazwa oferty,Link,Koszty_zbiorcze,transport,Zakwaterowanie,Pilotaż,Inne,koszta stałe,Wpływy,wpływy dodatkowe,ilosc osób spodziewanych,ilość osob zakontraktowanych,realna_liczba_osób,kraj,dlugość wycieczki w dniach,cena zwykla,cena first minute,czy stacjonarna,czy przejazdowa,czy samolot,czy rejs,czy autokar,sezon,ilosc gwiazdek w hotelu,City Breaki,czy tygodniowa badz
SXL01,2018-04-27,1,MM,(ID1252) Portugalia | Eurotrip | Region Algarve 7+3,https://docs.google.com/spreadsheets/d/18whjl5ngDn0kEKEqn3Cbwe9qfKVrg8yC_L-6KLBseZE/edit#gid=1626993402,"114 615,90 zł","70 523,67 zł","35 005,30 zł","4 503,73 zł","4 583,20 zł","7 456,07 zł","124 267,80 zł","42 383,09 zł",65,109,,PORTUGALIA,10,1099,799,0,1,0,0,1,WIOSNA,3,0,1
MAP01,2018-04-28,1,MM,(ID1253) Amsterdam + Paryż,https://docs.google.com/spreadsheets/d/1EuJ83FfLQv3BsZ-GRFH2nC2Uc5EMkB2sD8P8KqXcso4/edit#gid=1626993402,"45 734,56 zł","15 010,80 zł","20 320,87 zł","2 607,80 zł","7 795,09 zł","2 441,94 zł","40 699,00 zł","4 752,00 zł",45,48,,FRANCJA,6,899,799,0,1,0,0,1,WIOSNA,0,1,0
MAS01,2018-04-28,1,IG,(ID1336) Albania | Shëngjin (All Inclusive Soft),https://docs.google.com/spreadsheets/d/1CX-LBA5Skbry9WlINWMNlmxmNwWHHO1G6N-euAZMxzk/edit#gid=1626993402,"54 767,32 zł","15 857,39 zł","36 652,00 zł","1 227,23 zł","1 030,70 zł","3 209,88 zł","53 498,00 zł","2 320,00 zł",48,48,,ALBANIA,8,899,799,1,0,0,0,1,WIOSNA,4,0,1
MBS01,2018-04-28,1,BOK,(ID1284) Kite Majówka | Półwysep Helski | Małe Morze,,"4 964,40 zł","0,00 zł","0,00 zł","0,00 zł","4 964,40 zł","335,81 zł","5 596,80 zł","0,00 zł",,0,,,,,,,,,,,,,,
MKV01,2018-04-28,1,ŁR,(ID1248) Ukraina | Kijów + Czarnobyl,,"21 510,30 zł","5 764,60 zł","5 280,00 zł","1 489,16 zł","8 976,54 zł","1 144,06 zł","19 067,60 zł","2 488,00 zł",35,0,,Ukraina,4,699,499,0,1,0,0,1,Wiosna,3,1,0
MSC02,2018-04-28,0,ŁR,(ID1303) StudentCAMP | Majówka | Grecja,,"589,51 zł","0,00 zł","0,00 zł","0,00 zł","589,51 zł","0,00 zł","0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SAT01,2018-04-28,1,IG,(ID1315) AdriaTRIP | Słowenia + Chorwacja | NOWOŚĆ!,https://docs.google.com/spreadsheets/d/1twZa1Bz4EmgNsAHoEj-dY2jchkUZeT0aOO0UlO9CXkY/edit#gid=1626993402,"51 946,05 zł","15 774,00 zł","19 167,28 zł","2 316,00 zł","14 688,77 zł","2772,03","43 837,00 zł","20 656,24 zł",50,50,,CHORWACJA,7,849,749,0,1,0,0,1,WIOSNA,3,0,1
SCZ01,2018-04-28,1,MM,(ID1247) Czarnogóra | Budva + Dubrovnik,https://docs.google.com/spreadsheets/d/17QvpoR61SZBmW_lWOxylVq3hZZxWv7K2h_I8L-F4GnE/edit#gid=1626993402,"56 717,60 zł","15 288,00 zł","29 251,20 zł","1 620,00 zł","10 558,40 zł","2447,76","54 510,80 zł","3 278,00 zł",65,64,,Czarnogóra,9,749,599,1,0,0,0,1,WIOSNA,0,0,1
SGT01,2018-04-28,0,IG,,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",0,0,,,,,,,,,,,,,,
SIP01,2018-04-28,0,ŁR,,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
